Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
bebroeden	werkwoord	1.0	13734	941329	al broedend bedekt houden van vogels van slangen van vissen van bijen	al broedend bedekt houden van vogels m.b.t. eieren of een nest van slangen m.b.t. eieren van vissen m.b.t. eitjes van bijen m.b.t. eitjes	Full definition shorter than short
bebroeden	werkwoord	1.1	13734	941330	van vogels	van vogels m.b.t. eieren of een nest	Full definition shorter than short
bebroeden	werkwoord	1.2	13734	941331	van slangen	van slangen m.b.t. eieren	Full definition shorter than short
bebroeden	werkwoord	1.3	13734	941332	van vissen	van vissen m.b.t. eitjes	Full definition shorter than short
bebroeden	werkwoord	1.4	13734	941333	van bijen	van bijen m.b.t. eitjes	Full definition shorter than short
bedauwen	werkwoord	2.0	475744	940191	bevochtigen	met vocht bedekken	Full definition shorter than short
bedotten	werkwoord	1.0	13926	13927	belazeren	voor de gek houden	Full definition shorter than short
bedraden	werkwoord	1.0	13930	940378	met bedrading uitrusten	van elektrische draden voorzien	Full definition shorter than short
beenhard	adjectief	1.0	365163	582271	zeer hard	heel erg hard	Full definition shorter than short
beenhard	adjectief	2.0	365163	582272	meedogenloos	niets of niemand ontziend	Full definition shorter than short
beenhard	adjectief	4.0	365163	582285	vaststaand	onherroepelijk	Full definition shorter than short
beenhard	adjectief	5.0	365163	582289	glashard	zonder merkbare aarzeling	Full definition shorter than short
beer	substantief	4.0	14517	14521	mestvocht	vloeibare mest	Full definition shorter than short
beer	substantief	1.2	14517	14525	beeldje van een beer	afbeelding van een beer	Full definition shorter than short
beest	substantief	2.0	14560	209010	landbouwdier	gedomesticeerd dier	Full definition shorter than short
beetgrijpen	werkwoord	1.0	394557	940425	vastgrijpen	stevig vastnemen	Full definition shorter than short
begerenswaardig	adjectief	1.0	14742	14743	te begeren	waard om begeerd te worden	Full definition shorter than short
behandelbaar	adjectief	2.0	15009	940559	te gebruiken, te hanteren zijn	(van producten, stoffen) te gebruiken zijn	Full definition shorter than short
behartigenswaardig	adjectief	1.0	198444	198445	waard om te behartigen	waard om ter harte genomen te worden	Full definition shorter than short
beklagenswaardig	adjectief	1.0	15437	15438	deerniswekkend	waard om beklaagd te worden	Full definition shorter than short
bel	substantief	1.1	15547	621049	belgeluid	geluid van een bel	Full definition shorter than short
bel	substantief	1.3	15547	573296	deurbelgeluid	geluid van een deurbel	Full definition shorter than short
belatafelen	werkwoord	1.0	431440	940479	beduvelen	voor de gek houden	Full definition shorter than short
belichter	substantief	2.0	16149	634566	apparaat waarmee iets belicht wordt	apparaat dat zorgt voor de belichting	Full definition shorter than short
beloftevol	adjectief	1.0	16244	16245	vol van belofte of beloften	een belofte of beloften inhoudend	Full definition shorter than short
Bengaals	adjectief	3.0	386779	513902	van de Bengalen	van, uit, in Bangladesh	Full definition shorter than short
Bengalees	adjectief	1.0	16483	16485	van de Bengalezen	van, uit, in Bangladesh	Full definition shorter than short
benijdenswaardig	adjectief	1.0	16510	16511	begerenswaardig	waard om benijd te worden	Full definition shorter than short
benzine	substantief	1.1	16543	619928	benzinesoort	soort benzine	Full definition shorter than short
berg	substantief	3.0	16768	16770	stapel	grote hoeveelheid	Full definition shorter than short
berg van barmhartigheid	verbinding	1.0	895488	895489	pandjeshuis	bank van lening	Full definition shorter than short
berkenpollen	substantief	1.0	205430	205437	pollen van de berk	stuifmeel van de berk	Full definition shorter than short
berkenstuifmeel	substantief	1.0	205486	205499	pollen van de berk	stuifmeel van de berk	Full definition shorter than short
beschermwaardig	adjectief	1.0	17519	17520	bescherming verdienend	waard om beschermd te worden	Full definition shorter than short
besdragend	adjectief	1.0	17595	383507	bessen dragend	bessen voortbrengend	Full definition shorter than short
beslapen	werkwoord	2.0	17607	940153	geslachtsgemeenschap, seks hebben met	geslachtsgemeenschap hebben met iemand	Full definition shorter than short
beslissingsbevoegdheid	substantief	1.0	17625	17626	bevoegdheid om iets te besluiten	bevoegdheid om beslissingen te nemen	Full definition shorter than short
beslissingsrecht	substantief	1.0	17635	17636	recht om iets te besluiten	recht om beslissingen te nemen	Full definition shorter than short
besprokene	substantief	2.2	405054	883221	derde persoon	(grammatica) derde persoon	Full definition shorter than short
beswaffelen	werkwoord	1.0	272111	272112	swaffelen	met de penis slaan	Full definition shorter than short
betreurenswaardig	adjectief	1.0	18304	18305	te betreuren	waard om betreurd te worden	Full definition shorter than short
beuk	substantief	A.1.3	18369	584630	beukenhout	hout van een beukenboom	Full definition shorter than short
beukenpollen	substantief	1.0	205432	205451	pollen van de beuk	stuifmeel van de beuk	Full definition shorter than short
beukenstuifmeel	substantief	1.0	205488	205510	pollen van de beuk	stuifmeel van de beuk	Full definition shorter than short
bewonderenswaardig	adjectief	1.0	19074	19075	te bewonderen	waard om bewonderd te worden	Full definition shorter than short
bezoeker	substantief	1.0	19271	19272	iemand die op bezoek komt iemand die een winkel bezoekt	iemand die een bezoek brengt iemand die een winkel bezoekt	Full definition shorter than short
bezoeker	substantief	1.1	19271	589317	klant	iemand die een winkel bezoekt	Full definition shorter than short
bibbergeld afdokken	verbinding	1.0	909277	909278	in spanning blijven	niet gerust zijn op een goede afloop	Full definition shorter than short
bibbergeld betalen	verbinding	1.0	909276	909279	in spanning blijven	niet gerust zijn op een goede afloop	Full definition shorter than short
big smile	substantief	1.0	637642	637771	brede lach	grote grijns	Full definition shorter than short
bigot	adjectief	1.0	19811	19812	kwezelachtig	overdreven vroom	Full definition shorter than short
bij bosjes	verbinding	1.0	896103	896104	in groten getale	in grote hoeveelheden	Full definition shorter than short
bij de dag leven	verbinding	1.0	912725	912728	gericht op de huidige dag leven	leven zonder naar de toekomst te kijken	Full definition shorter than short
bij de pinken zijn	verbinding	1.0	924759	924762	nog goed bij zijn	slim en alert zijn	Full definition shorter than short
bij de pinken zijn	verbinding	2.0	924759	924763	behendig zijn	snel en alert zijn	Full definition shorter than short
bij hopen	verbinding	1.0	928169	928171	heel veel	in grote aantallen	Full definition shorter than short
bij leven	verbinding	1.0	896064	896065	voor iemands dood	toen iemand nog leefde	Full definition shorter than short
bij monde van	voorzetsel	1.0	925339	925340	via een mededeling van	gezegd of gesproken door	Full definition shorter than short
bij nacht zijn alle katten grauw	verbinding	1.0	895137	895143	als het erop aankomt, zijn we allemaal hetzelfde	in het donker ziet men niet het verschil tussen mooi of lelijk	Full definition shorter than short
bij tijd en wijle	bijwoord	1.0	322744	930591	bij tussenpozen	van tijd tot tijd	Full definition shorter than short
blaffer	substantief	4.0	21308	306319	penis	mannelijk lid	Full definition shorter than short
blankhouten	adjectief	1.0	21356	21357	van blank hout gemaakt met veel blank hout ingericht	van blank hout gemaakt met veel blankhouten elementen	Full definition shorter than short
Blaricummer	adjectief	2.0	431515	552007	van de Blaricummers	van, uit, in Blaricum e.d.	Full definition shorter than short
blasé	adjectief	2.0	21384	21386	blaaskakerig	zelfingenomen	Full definition shorter than short
blauwvos	substantief	2.0	210235	210257	blauwvossenbont	bont van de blauwvos	Full definition shorter than short
blessuregevoelig	adjectief	1.0	21687	21688	snel geblesseerd	gevoelig voor blessures	Full definition shorter than short
blinde kip	verbinding	1.0	896180	896181	slechtziende	iemand die niet of slechtkan zien	Full definition shorter than short
bloedneus	substantief	1.0	21992	21993	neusbloeding	bloedende neus	Full definition shorter than short
bloem	substantief	1.1	22106	496741	plant met bloemen	bloemdragende plant	Full definition shorter than short
bloemensafari	substantief	1.0	593108	593950	safari om bloemen te zien	excursie door een bloemrijk gebied	Full definition shorter than short
bochelaar	substantief	1.0	316193	653638	gebochelde	iemand met een bochel	Full definition shorter than short
Boedapester	adjectief	4.0	22619	22623	van Boedapest	van, uit, in Boedapest	Full definition shorter than short
boefproof	adjectief	1.0	571420	571421	bestand tegen boeven	bestand tegen diefstal	Full definition shorter than short
boek	substantief	4.0	22675	624514	pak	hoeveelheid die een geheel vormt	Full definition shorter than short
boemel	substantief	1.0	22912	22913	boemeltrein	trein die bij elk tussenstation stopt	Full definition shorter than short
boemeltrein	substantief	1.0	22960	22961	stoptrein	trein die bij elk tussenstation stopt	Full definition shorter than short
bof	substantief	B.2.0	23144	23145	meevaller	gelukkig toeval	Full definition shorter than short
bollenteler	substantief	1.0	23323	23324	iemand die voor zijn beroep bloembollen teelt	teler van bloembollen bedrijf dat bloembollen teelt	Full definition shorter than short
bonje	substantief	1.1	23590	23592	geval van bonje	keer dat iemand bonje maakt	Full definition shorter than short
bont	adjectief	B.1.0	23626	530890	met kleur	niet-effen van kleur	Full definition shorter than short
